texts,articles
"Германия прекратила осуществлять поставки российского газа реверсом в Польшу, заявил официальный представитель «Газпрома» Сергей Куприянов. 28 апреля компания сообщила о том, что Польша покупает российский газ через Германию, вопреки своим заявлениям о намерениях отказаться от поставок российского газа.«2 мая Германия прекратила физический реверс российского газа в Польшу по Ямалу—Европе. Однако немедленно возник виртуальный реверс для Польши из появившихся заявок потребителей Италии и Франции, которые обеспечиваются по польскому коридору. Мы это видим и фиксируем»,— приводятся слова господина Куприянова в Telegram-канале российской компании.Получаемый газ Польша использует для закачки в свои подземные хранилища, при этом ПХГ Европы сейчас заполнены в среднем на 34%, а ПХГ Польши — на 80%, добавил господин Куприянов. По его словам, на текущей неделе в среднем на 43% увеличились заявки европейских потребителей на поставку российского газа транзитом через Украину.26 апреля Власти Польши сообщили, что не будут платить за российский газ в рублях. 27 апреля «Газпром» подтвердил, что полностью остановил поставки газа польской компании PGNiG. Это решение было принято в связи с тем, что компания отказалась платить за газ в рублях в соответствии с указом президента России Владимира Путина, который действует с 1 апреля.Подробнее о том, почему ЕС не смог сохранить единство в вопросе оплаты российского газа в рублях,— в публикации «Ъ» «Союзные газударства».Еще больше новостей в Telegram-канале «Коммерсантъ».",«Газпром»: Германия перестала поставлять российский газ в Польшу
"Объем поставок российского газа по газопроводу «Сила Сибири» с января по апрель вырос почти на 60%, говорится в отчетности российской компании. Поставки в Китай ведутся с конца 2019 года.«Растет экспорт газа в Китай по газопроводу ""Сила Сибири"" в рамках двустороннего долгосрочного контракта между ""Газпромом"" и CNPC. Объем поставок за первые четыре месяца 2022 года превышает аналогичный показатель прошлого года почти на 60%»,— сообщается в Telegram-канале «Газпрома».В феврале «Газпром» и CNPC заключили второй долгосрочный договор о поставках природного газа в Китай. После выхода проекта на полную мощность объем поставок газа по «дальневосточному» маршруту должен увеличиться на 10 млрд куб. м в год и в совокупности достигнет 48 млрд куб. м в год с учетом поставок по газопроводу «Сила Сибири».Подробнее о соглашении — в материале «Ъ» «""Сила Сибири"" в деньгах» .Еще больше новостей в Telegram-канале «Коммерсантъ».",«Газпром»: экспорт газа в Китай с начала года вырос почти на 60%
"«Газпром» увеличил чистую прибыль по итогам 2021 года до 2,09 трлн руб. против 135,3 млрд руб. годом ранее, сообщила компания сегодня в отчетности по МСФО. Из-за роста мировых цен на газ и нефть выручка компании в годовом выражении выросла до 10,2 трлн руб. с 6,3 трлн руб. Показатель EBITDA увеличился на 151%, до 3,7 трлн руб.Поскольку «Газпром», согласно дивидендной политике, обязался отдавать акционерам 50% чистой прибыли с корректировкой на неденежные статьи, акционеры в теории могут получить около 50 руб. дивидендов на акцию. Однако не исключено, что в текущей сложной ситуации «Газпром» решит отойти от принятой дивидендной политики, учитывая также, что по-прежнему не ясно, как выплаты получат владельцы ADR.Чистый долг компании снизился на 26%, до 2,9 трлн руб. В 2021 году «Газпром» признал убыток от обесценения нефинансовых активов, включая незавершенное строительство и инвестиции в совместные предприятия, в размере 448,2 млрд руб. против 54 млрд руб. в 2020 году. Вероятнее всего, речь идет о проекте «Северный поток-2».На инвестиции по газовым, нефтяным, электрогенерирующим, теплогенерирующим и прочим активам в 2022 году «Газпром» намерен направить до 2,258 трлн руб. против 2 трлн руб. в 2021-м.Сейчас «Газпром» проводит оценку того, как принятые в 2022 году санкции, введенные в феврале—апреле США и странами ЕС в отношении РФ, могут повлиять на финансовое положение компании и результаты ее деятельности.Также в отчетности говорится, что оператор замороженного газопровода «Северный поток-2» компания Nord Stream 2 AG (на 100% принадлежит «Газпрому») 1 марта подала запрос о приостановке арбитражного разбирательства по спору с ЕС о применении газовой директивы к проекту. Арбитражный трибунал отменил слушания, запланированные на конец июня, указано в отчете. Действие газовой директивы, которую пытался оспорить «Газпром», могло снизить мощность «Северного потока-2» до 50%. Но поскольку Германия уже остановила проект, а сейчас страны ЕС обсуждают полный отказ от российского газа, продолжение судебного разбирательства теперь выглядит бессмысленным.Средняя цена экспортных поставок Газпрома за 2021 год составила $298 за 1 тыс. кубометров, что в два раза выше, чем в 2020 году. А в четвертом квартале 2021 года средняя цена доходила до $517 за 1 тыс. кубометров, сообщил финансовый директор «Газпрома» Фамил Садыгов.Коэффициент чистый долг/EBITDA, по словам топ-менеджера, снизился до 0,7 по итогам 2021 года уровня, в третьем квартале он достигал 1,2.",«Газпром» успел заработать в 2021 году
"Российская компания «Газпром» в текущем году планирует добыть 494,4 млрд куб. против 514,8 млрд в 2021 году, сообщил замглавы холдинга Виталий Маркелов. Таким образом, снижение добычи составит 4%.«План по добыче газа на 2022 год утвержден в объеме 494,4 млрд куб. м»,— сказал господин Маркелов в интервью корпоративному журналу «Газпрома» (цитата по ТАСС). По его словам, в текущем году в соответствии с планом по добыче углеводородов из ачимовских залежей планируется добыть газ в объеме 23,7 млрд куб. м, газового конденсата — 9,5 млн т.Ранее «Газпром» не стал бронировать мощности польского участка магистрального газопровода Ямал—Европа на апрель 2022 года. Аукцион на дополнительные мощности газотранспортной системы Украины был отменен.Подробнее о том, почему российская компания выходит из капитала европейских трейдинговых структур, читайте в материале «Ъ» «""Газпром"" рубит зарубежные связи».Еще больше новостей — в Telegram-канале «Коммерсантъ».",«Газпром» планирует в 2022 году снизить добычу газа на 4%
"Схема оплаты российского газа в рублях может расколоть европейский рынок. Утром 27 апреля «Газпром» приостановил поставки газа болгарской Bulgargaz и польской PGNiG в связи с отказом перейти на новую схему. В то же время, сообщил Bloomberg со ссылкой на источники, десять европейских компаний уже согласились на нее, а четыре перечислили средства с конвертацией в рубли. Новую систему 31 марта ввел Владимир Путин: покупатели из «недружественных» стран должны будут переводить средства в евро или долларах на новый счет в Газпромбанке, они будут конвертироваться в рубли, а затем поступать «Газпрому». В случае отказа поставки приостановят.Глава МИД Венгрии Петер Сийярто 27 апреля подтвердил, что страна согласилась с этой схемой. В австрийской OMV “Ъ” сообщили, что «проанализировали» запрос «Газпрома» о возможных способах оплаты газа и «работают над решением», соответствующим санкциям ЕС. В немецкой Uniper “Ъ” сказали, что «считают возможной оплату в соответствии с санкционным законодательством и постановлением правительства РФ», отметив, что сейчас компания ведет переговоры с «Газпромом» и правительством Германии по этому поводу. В хорватской Prvo Plinarsko Drustvo (PPD) отметили, что долгосрочный контракт на поставку газа с «Газпромом» «соблюдается обеими сторонами в установленном порядке». В словенском Geoplin отметили, что находятся в процессе согласования с поставщиком, и пока не могут раскрывать какие-либо подробности. В датской Orsted “Ъ” подтвердили, что придерживаются своего прежнего заявления о том, что не намерены платить за российский газ в рублях. Остальные опрошенные “Ъ” крупные покупатели «Газпрома» в ЕС на запрос “Ъ” не ответили.В то же время глава Еврокомиссии Урсула фон дер Ляйен предупредила «о высоких рисках» для тех компаний ЕС, которые согласятся с новыми российскими требованиями, поскольку это нарушит санкции ЕС:Европейские цены на газ на хабе TTF утром 27 апреля выросли на 21%, до €125 за 1 MВт•ч, после того как «Газпром» заявил о приостановке поставок в Польшу и Болгарию. Но затем цена стабилизировалась в районе €110 за 1 МВт•ч, следует из данных ICE Futures. Алексей Гривач из ФНЭБ считает, что если в результате отказов европейских компаний перейти на новую схему оплаты произойдет значимое снижение импорта из РФ, возникнет физический дефицит газа, который, «очевидно, поддержит цены и, вероятно, подтолкнет их вверх, усугубляя финансовое положение импортеров и конечных потребителей».Мария Белова из Vygon Consulting полагает, что раскол на европейском рынке газа «уже обозначился» и будет нарастать по мере поляризации позиций. «Видно, что в споре ЕС разделяется на страны ""новой Европы"", позже присоединившиеся к ЕС, которым оказалось проще отказаться от российского газа, и на ""старую Европу"", которая исторически исходила из более рациональных доводов при принятии таких решений»,— считает она.По мнению Марии Беловой, страны «старой Европы» по большей части перейдут на новый механизм оплаты. При этом «новые страны ЕС» будут требовать соблюдения принципа солидарности и компенсации их экономических потерь от промышленного спада либо требовать, чтобы их обеспечили газом, полагает она. Ключевым, полагает эксперт, станет вопрос источника поставок газа, поскольку «покрыть объемы на ближайшие один-два месяца гораздо проще, чем накануне грядущего отопительного сезона».Госпожа Белова считает, что в результате в ходе этого кризиса ЕС может прийти к варианту коллективной закупки газа, когда «вопрос снабжения газом снимут с каждой отдельной страны и поднимут на уровень союза».",Союзные газударства
"— «Газпром» в этой ситуации практически ничего не теряет, ведь когда одна часть рынка пропадает, то стоимость топлива растет на другом секторе. Поляки уже запросили реверс из Германии и увеличили свою заявку на эти дни. Получается, что общий объем поставок, наверное, будет таким же, а в деньгах, может, и больше. Если «Газпром» поставляет газ по контрактам, заключенным ранее, то по стоимости тут все понятно. А вот для тех, кто отказывается, голубое топливо будет гораздо дороже.Альтернативные источники Европе придется искать еще долго. Польша, например, сможет подготовиться к работе с СПГ не раньше 2025 года, когда создаст необходимую инфраструктуру — терминалы, танкеры и так далее. Получается, что согласные платить рублями будут получать топливо, а несогласным придется покупать газ у них, только уже гораздо дороже. Не думаю, что венгры или сербы согласятся каким-нибудь «братьям»-болгарам продавать его из чувства солидарности.При этом и со сжиженным газом есть проблема: купить его можно только в Катаре и США. Другие страны могут увеличить добычу СПГ, но тогда возникнут сложности с логистикой. Морем топливо в Европу можно доставить только из этих двух стран.Кроме того, СПГ гораздо дороже, а когда на Штаты начинает расти нагрузка, увеличивается и стоимость — за 2022 год цена сжиженного газа на внутреннем американском рынке выросла в два раза, а если пойдут еще и объемы в ЕС, то котировки подскочат еще выше.Данная ситуация приведет к негативным настроениям среди населения Америки, особенно когда очередные президентские выборы не за горами. Растет газ, нефть, инфляция — и это все идет в связке.Глобальный энергобаланс един, в отличие от политического глобализма, который сейчас рушится. Причем даже в Федрезерве США сказали, что основной источник инфляции на данный момент — это распад глобального мира. И если исчезает привычный мировой порядок, то энергетический глобализм не может пойти таким путем. Баланс регулируется либо объемом, либо ценой. «Газпром» в глобальном балансе занимает 40% — это очень много. То есть даже если его доля упадет до 30%, все равно это гигантские объемы. И вывести его из игры никак не получится.И Центральный банк в этих условиях вынужден был изменить правила продажи валютной выручки сначала для экспортеров несырьевого рынка, а теперь и для всех экспортеров.Раньше мы страдали из-за того, что у нас работало бюджетное правило, потому что падение курса рубля — это большой минус для российского населения. А сейчас на рубль это правило не работает, РФ бессмысленно как государству покупать евро и доллары — есть риск, что они станут бесполезны, поэтому сейчас на бирже мы имеем справедливое курсообразование.","«""Газпром"" практически ничего не теряет»"
"В Кремле этих опасений не понимают, сообщил Дмитрий Песков: «Мы уже неоднократно объясняли ту систему, которую предлагается применять, что, собственно, как компании-покупатели платили в евро, так они и будут платить, но просто на другие свои счета, которые потом также будут конвертироваться в рубли. Поэтому здесь госпоже фон дер Ляйен стоит получить более подробную информацию от компаний, которые находятся в контрактных взаимоотношениях с ""Газпромом"" и которые уже получили необходимые разъяснения».Новый порядок расчетов заработал неделю назад — он касается так называемых недружественных стран. При этом первые платежи по этой схеме ожидаются в конце апреля-начале мая. Формально европейские компании продолжат платить в евро и долларах. Но деньги должны приходить не на зарубежные счета «Газпрома», а на валютные счета покупателей в Газпромбанке. После этого кредитная организация сама займется обменом.Как трактовать выступление главы Еврокомиссии? На этот вопрос в эфире “Ъ FM” ответил директор Фонда национальной энергетической безопасности Константин Симонов: «Конечно, идет великая борьба между политической необходимостью и экономической целесообразностью. 40% российского газа заместить нельзя, и это признает сама Европейская комиссия.Но опять же вопрос: а потребуются ли, вообще, какое-то принципиальное изменение контрактов? На самом деле даже валюта платежа не меняется. В заявлении главы Европейской комиссии содержатся такие слова, как ""полагаем"". То есть, с одной стороны, вроде бы все тщательно расследовали, а с другой — никакой твердости нет. В чем, собственно, нарушение санкций, если валюта контракта не меняется, а компания не покупает рубли?У Европейской комиссии есть право рассмотреть эти контракты. Она тоже может поступить по-разному, например, взять их на изучение. Я сильно сомневаюсь, что при позитивном решении самих компании Европейская комиссия начнет жестко ставить в бан поправки к договорам, тем более что, с моей точки зрения, эти договоры даже не нужно переписывать, надо просто подписать приложение, где зафиксируют техническую схему».Российский вице-премьер Александр Новак заявил, что некоторые страны согласились перейти на новую схему, но конкретных примеров не назвал. О готовности платить рублями публично заявляли в Венгрии. Хотя покупателям не придется менять валюту самим, риски для них все равно существуют, считает партнер информационно-консалтинговой компании RusEnergy Михаил Крутихин:""Газпром"" будет считать деньги поступившими только после того, как их обменяют на рубли. Когда Газпромбанк возьмет эти валютные средства, отправит их, получит рубли, переправит их ""Газпрому"", только после этого можно считать, что оплата прошла. В этой цепочке может произойти все что угодно.Некоторые страны объявляют, что они готовы платить в рублях, хотя все остается по-прежнему. Я могу трактовать заявление фон дер Ляйен как ответ на высказывания еще не проснувшихся европейских руководителей. В данном случае она просто говорит, что если у вас будут требовать оплату в рублях, то это противоречит санкциям, это вообще незаконно, и по контракту так не положено».На прошлой неделе в Еврокомиссии говорили, что работают над единой позицией по оплате поставок газа. Тем временем Урсула фон дер Ляйен и глава европейской дипломатии Жозеп Боррель едут в Киев. В украинской столице у них запланирована встреча с президентом Владимиром Зеленским.",Газ запутался в платежах
"Компания Gazprom Germania GmbH, которая с 1 апреля перестала контролироваться российским «Газпромом», передана под управление Федеральному сетевому агентству (BNetzA) Германии до 30 сентября, заявил в понедельник министр экономики ФРГ Роберт Хабек.Министерство экономики в понедельник выпустило правовое постановление, согласованное в правительстве ФРГ. «Постановление касается подразделений компании Gazprom Germania GmbH... Этим постановлением мое министерство назначает Федеральное сетевое агентство временным попечителем группы Gazprom Germania»,— сказал министр, пояснив, что документ «служит защите общественного порядка, сохранению общественного обеспечения».1 апреля «Газпром» сообщил, что перестал контролировать Gazprom Germania GmbH и входящие в нее активы, имеющие системное значение для Германии (см. «Ъ» от 1 апреля). Речь идет о зарегистрированной в Лондоне Gazprom Marketing & Trading Ltd, торгующей газом по всей Европе, операторе ПХГ в Европе и Австрии Astora, трейдерах WIEH и Wingas.В «Газпроме» не комментировали информацию о новом владельце. Согласно сообщению, «Газпром» вышел из владеющего Gazprom Germania GmbH ООО «Газпром экспорт-бизнес услуги» 31 марта. По данным СПАРК-Интерфакс, в этот же день ее владельцем стала зарегистрированная в Москве АО «Палмэри», которой, в свою очередь, принадлежат 99,9% самого общества, ее гендиректор — Дмитрий Цепляев.Но, как поясняет господин Хабек, «Газпром» вышел из немецкой дочерней компании без одобрения правительства, тем самым нарушив закон Германии о внешней торговле.Кроме того, по заявлению чиновника, покупатель приказал ликвидировать Gazprom Germania, «что является незаконным до тех пор, пока приобретение не будет одобрено».Как сообщило в понедельник агентство Bloomberg, правительство Германии обсуждает с частными покупателями продажу немецкой компании Gazprom Germania GmbH или отдельных ее подразделений и собирается предложить покупателям кредиты от государственного банка. 30 марта это же агентство сообщало об обысках в офисах Gazprom Germania и Wingas в рамках расследования Еврокомиссии о роли «Газпрома» в росте цен на газ в Европе. Газета Handelsblatt ранее сообщала, что Минэкономики ФРГ рассматривает возможность национализации немецких дочерних компаний «Газпрома» и «Роснефти».",Германия берет «Газпром» на себя
"Российский «Газпром» 31 марта вышел из капитала немецкой компании Gazprom Germania и всех принадлежащих ей активов, в числе которых ключевая трейдинговая структура компании за рубежом Gazprom Marketing & Trading Ltd (GM&T). Компания прекратила свое участие в активах 31 марта, заявление «Газпрома» опубликовано в пятницу, 1 апреля.GM&T зарегистрирована в Лондоне, но торгует газом по всей Европе, контролируя в том числе розничное подразделение Gazprom Marketing & Trading Retail (Gazprom Energy) и СПГ-трейдера Gazprom Global LNG.Gazprom Germania GmbH имеет системное значение для Германии. Она непосредственно контролировалась «Газпром экспортом» и помимо GM&T управляла десятком компаний, в частности немецкими трейдерами Wingas, WIEH, WIEE, а также Astora GmbH, управляющей немецкими и австрийскими ПХГ Rehden, Jemgum, Haidach емкостью до 6 млрд кубометров. Также Gazprom Germania контролирует 49,98% в немецком газотранспортном операторе Gascade.Как сообщал «Ъ», «Газпром» прорабатывает сценарии прекращения поставок «недружественным» странам, в пятницу компания сообщила, что направила своим контрагентам уведомления о новом порядке расчета за поставки в российских рублях. Предполагается, что тем покупателям, которые откажутся от новой системы, отключат поставки газа.Накануне газета Handelsblatt сообщала, что власти Германии анализируют возможность национализации Gazprom Germania для того, чтобы предотвратить риски массового нарушения энергоснабжения в случае возникновения трудностей у этих компаний. Bloomberg также сообщало о планах национализации GM&T властями Великобритании.В марте Еврокомиссия заявила, что продолжит расследование на газовом рынке в отношении «Газпрома» по подозрению в нарушении конкуренции. 29 марта в газовых компаниях в Германии — по сообщениям СМИ, в Gazprom Germania и Wingas — прошли обыски в рамках расследования о возможных нарушениях норм ЕС о конкуренции. Помимо этого Еврокомиссия выдвинула предложение об обязательной сертификации операторов ПХГ в Европе для «избежания потенциальных рисков, связанных с внешним влиянием на критически важную инфраструктуру». Таким образом, «несертифицированные операторы должны будут отказаться от права собственности или контроля над газохранилищами ЕС», говорится в материалах Еврокомиссии. В перспективе введение этой меры могло привести к отказу в сертификации для ПХГ «Газпрома» в Европе.",«Газпром» рубит зарубежные связи
"Британские власти готовятся временно национализировать глобальное энергетическое трейдинговое подразделение «Газпрома» Gazprom Marketing & Trading (GM&T), сообщает Bloomberg со ссылкой на источник, знакомый с ситуацией. Эта процедура предусматривает введение «специального режима управления».По словам собеседника агентства, Gazprom Marketing & Trading Retail Ltd, у которой насчитывается более 30 тыс. бизнес-клиентов, является главным кандидатом на включение в специальный административный режим Великобритании. Как пояснил собеседник агентства, дочерняя компания «подвергается растущему давлению со стороны компаний, отворачивающихся от российского бизнеса».Власти Британии ввели санкции против «Газпрома» в начале марта из-за российской военной спецоперации на Украине. Согласно ограничениям, «Газпром» больше не может выпускать долговые обязательства или акции в Британии.Подробнее о том, какие отрасли пострадали из-за последнего пакета санкций ЕС, читайте в материале «Ъ» «В сырьезных отношениях».",Bloomberg: Великобритания планирует временно национализировать «дочку» «Газпрома»
"Источники “Ъ” в российских энергокомпаниях рассказали, что аномальный рост цен на электроэнергию на рынке на сутки вперед (РСВ, основной сектор торговли электроэнергией) в августе 2021 года произошел из-за резкого снижения поставок газа на ТЭС после аварии на заводе «Газпрома» в Новом Уренгое 5 августа. В частности, в августе цены на РСВ в первой ценовой зоне (европейская часть РФ и Урал) подскочили на 22,6%, достигнув годового максимума в 1,54 тыс. руб. за 1 МВт•ч.По оценкам «ВТБ Капитала», доля «Газпрома» в поставках газа энергетикам в 2020 году составляла 37%.В Совете производителей энергии (СПЭ, объединяет генкомпании) подтвердили “Ъ”, что пожар на газохимическом комплексе в Новом Уренгое «внес дополнительный вклад в рост цен РСВ в 2021 году». Из-за «временного дефицита газа в газотранспортной системе некоторые ТЭС были вынуждены перейти на использование резервного топлива для покрытия пиковых нагрузок».«Совет рынка» (регулятор энергорынков) сообщал, что одна из причин летнего всплеска цен РСВ — переход некоторых ТЭС «на более дорогое резервное топливо в связи введением ограничений (в том числе ремонтных) на поставки газа».В «Газпроме» заявили “Ъ”, что в августе 2021 года фиксировали повышенный по сравнению с аналогичными периодами прошлых лет отбор газа предприятиями электроэнергетики, в том числе клиентами независимых производителей:В Минэнерго сообщили “Ъ”, что не зафиксировали «ограничений поставок газа, обусловленных аварийными ситуациями и нарушивших базовый режим работы ТЭС». Там отметили, что летом всегда проводятся плановые ремонты на объектах системы газоснабжения и газоиспользующем оборудовании ТЭС. Ремонты накладывают ограничения на величину максимального объема отбираемого газа. Однако в 2021 году из-за жары в европейской части РФ потребовалось дополнительно загрузить мощности. «При этом для покрытия пиковых нагрузок в условиях сохранения договорной величины отбора газа ТЭС дополнительно задействовали генерирующее оборудование, работающее на резервном виде топлива»,— говорят в Минэнерго.Рост цен РСВ в 2021 году привлек внимание и «Роснефти»: компания направляла жалобу в ФАС, после чего служба начала расследование (см. “Ъ” от 20 декабря 2021 года). В целом за весь 2021 год цена РСВ в европейской части РФ и на Урале поднялась на 15,7% год к году, достигнув 1,39 тыс. руб. за 1 МВт•ч. В Сибири показатель за год увеличился на 7,4% год к году, составив 923,4 руб. за 1 МВт•ч, следует из обзора «Совета рынка» (есть у “Ъ”). Цены на мощность в европейской части РФ и на Урале впервые упали на 6,8% год к году, до 827,78 тыс. руб. за 1 МВт в месяц. В Сибири показатель увеличился на 12,25%, достигнув 723,12 тыс. руб.Одноставочная цена (РСВ плюс мощность) оптового энергорынка в европейской части России и на Урале увеличилась на 3,9% год к году и достигла 2,64 тыс. руб. за 1 МВт•ч, а в Сибири показатель подскочил на 10%, до 1,96 тыс. руб. (см. график). Энергоцены, как и ожидалось, превысили показатели допандемийного 2019 года: в первой ценовой зоне рост составил 7,4%, а во второй — 10,7%.«Кратное превышение ценовыми показателями уровня прогнозной инфляции обусловлено сокращением резервов дешевой генерации, завышением ценовых заявок поставщиков, действием механизма искусственного завышения цен в ночные часы (1,5 Руст), а также взиманием платежей за простаивающие энергомощности»,— считают в «Сообществе потребителей энергии».В Минэнерго такую динамику цен объясняют в том числе увеличением спроса из-за восстановления экономики и климатического фактора. В СПЭ добавили, что рост одноставочной цены суммарно для двух ценовых зон составил 4,9% год к году, что значимо ниже уровня инфляции в 2021 году — 8,4%.",Газ отклонился от генераторной линии
