Article,Cluster,True category
Шрёдер отклонил предложение войти в совет директоров «Газпрома»,события,совет директоров
Главу Минсельхоза Патрушева выдвинули в совет директоров «Газпрома»,события,совет директоров
Пресс-секретарь главы правления «Газпрома» возглавил совет директоров VK,события,совет директоров
Правительство временно разрешило поставки СПГ бывшей «дочке» «Газпрома»,санкции,поставки газа
Спекулянты отыгрались на «Газпроме»,финансы,биржа
В Молдавии предложили повысить тарифы на газ из-за нестабильных цен,финансы,биржа
«Газпром» увеличил поставки газа в Европу,поставки газа,поставки газа
"Запасай, или потеряешь",санкции,поставки газа
Кому меньше всех надо,поставки газа,поставки газа
«Газпром» с 31 мая приостановит поставки газа в Нидерланды,поставки газа,поставки газа
Нидерландская GasTerra отказалась платить за российский газ рублями,поставки газа,поставки газа
Датский оператор Orsted увидел риск остановки поставок газа из России,поставки газа,поставки газа
«Газпром» прекратит поставки Shell в Германии,поставки газа,оплата газа
Основной импортер газа в ФРГ заплатил «Газпрому» по новой схеме,поставки газа,поставки газа
«Газпром» с 1 июня приостановит поставки газа Shell и датской Orsted,поставки газа,поставки газа
Россия перекрыла газ Нидерландам из-за отказа платить рублями,поставки газа,поставки газа
Добыча и поставки газа: итоги пяти месяцев,финансы,поставки газа
«Газпром» полностью остановил поставку газа компании Shell Energy Europe Limited в связи с неоплатой в рублях,поставки газа,поставки газа
«Газпром» полностью остановил поставку газа компании Orsted Salg & Service A/S (Дания) в связи с неоплатой в рублях,поставки газа,поставки газа
Австрийская OMV оплатила российский газ по новой схеме,поставки газа,санкции
Поставки газа россиянам в холодном мае трижды побили исторический рекорд,финансы,поставки газа
«Газпром» подтвердил остановку поставок датской Orsted и британской Shell,поставки газа,поставки газа
В Молдавии сообщили о снижении цены на российский газ,финансы,поставки газа
«Газпром» вложился в бурение,финансы,биржа
«Газпром» поздравил Санкт-Петербург с 350-летием со дня рождения Петра I,финансы,события
Под руководством Виктора Зубкова прошел Форум «Технологическая независимость сегодня — мировое лидерство завтра»,события,события
