Источник,Дата,Значимость,Категория,Заголовок,Новость
Коммерсант,28.04.22,3,добыча газа,«Газпром» планирует в 2022 году снизить добычу газа на 4%,"Российская компания «Газпром» в текущем году планирует добыть 494,4 млрд куб. против 514,8 млрд в 2021 году, сообщил замглавы холдинга Виталий Маркелов. Таким образом, снижение добычи составит 4%.«План по добыче газа на 2022 год утвержден в объеме 494,4 млрд куб. м»,— сказал господин Маркелов в интервью корпоративному журналу «Газпрома» (цитата по ТАСС). По его словам, в текущем году в соответствии с планом по добыче углеводородов из ачимовских залежей планируется добыть газ в объеме 23,7 млрд куб. м, газового конденсата — 9,5 млн т.Ранее «Газпром» не стал бронировать мощности польского участка магистрального газопровода Ямал—Европа на апрель 2022 года. Аукцион на дополнительные мощности газотранспортной системы Украины был отменен.Подробнее о том, почему российская компания выходит из капитала европейских трейдинговых структур, читайте в материале «Ъ» «""Газпром"" рубит зарубежные связи».Еще больше новостей — в Telegram-канале «Коммерсантъ»."
Коммерсант,02.05.22,1,поставки газа,«Газпром»: экспорт газа в Китай с начала года вырос почти на 60%,"Объем поставок российского газа по газопроводу «Сила Сибири» с января по апрель вырос почти на 60%, говорится в отчетности российской компании. Поставки в Китай ведутся с конца 2019 года.«Растет экспорт газа в Китай по газопроводу ""Сила Сибири"" в рамках двустороннего долгосрочного контракта между ""Газпромом"" и CNPC. Объем поставок за первые четыре месяца 2022 года превышает аналогичный показатель прошлого года почти на 60%»,— сообщается в Telegram-канале «Газпрома».В феврале «Газпром» и CNPC заключили второй долгосрочный договор о поставках природного газа в Китай. После выхода проекта на полную мощность объем поставок газа по «дальневосточному» маршруту должен увеличиться на 10 млрд куб. м в год и в совокупности достигнет 48 млрд куб. м в год с учетом поставок по газопроводу «Сила Сибири».Подробнее о соглашении — в материале «Ъ» «""Сила Сибири"" в деньгах» .Еще больше новостей в Telegram-канале «Коммерсантъ»."
РБК,02.05.22,3,санкции,В ЕС сочли нарушением контракта отключение Польши и Болгарии от газа,"Решение России о прекращении поставок газа в Польшу и Болгарию в связи с их отказом переходить на оплату в рублях является нарушением контрактов, заявила министр экологических преобразований Франции Барбара Помпили на брифинге по итогам встречи министров энергетики ЕС. Трансляция доступна на сайте ЕС.«Мы все осуждаем одностороннее решение «Газпрома» в отношении Польши и Болгарии. Все поставщики обязаны выполнять контракты», — заявила Помпили, подчеркнув, что при поставках газа в страны ЕС «следует соблюдать правила ЕС и контракты в том виде, в котором они были заключены».Член Еврокомиссии по энергетике Кадри Симсон, в свою очередь, вновь заявила, что новый механизм по оплате российского газа в рублях — «это нарушение санкций». Она указала, что Еврокомиссия позже подготовит детальные объяснения по этому вопросу.Согласно указу российского президента Владимира Путина, с 1 апреля «недружественные» государства, к которым в Москве причислили, в частности, все страны ЕС, США и Великобританию, должны платить за поставки газа в рублях.Некоторые страны, в частности Польша и Болгария, сообщили, что не намерены следовать требованиям Москвы, сочтя это нарушением условий договоров, которые в большинстве предполагают оплату в долларах или евро. В Венгрии в то же время допустили оплату газа в рублях.27 апреля «Газпром» остановил поставки газа польской PGNiG и болгарской «Булгаргаз». В пресс-службе концерна заявили, что по состоянию на конец рабочего дня 26 апреля от этих компаний не получили платежи в рублях за апрельские поставки.26 апреля PGNiG сообщила, что «Газпром экспорт» уведомил ее об остановке поставок газа. Компания сочла решение «Газпрома» нарушением контракта и заявила о намерении предъявить претензии в адрес российской компании. Минэнерго Болгарии в тот же день подтвердило, что «Булгаргаз» получил такое уведомление. Согласно анализу министерства, «Булгаргаза» и Болгарского энергетического холдинга, новый порядок оплаты поставок газа, предложенный Россией, «не соответствует действующему до конца этого года контракту и создает значительные риски для Болгарии».27 апреля «Газпром» также предупредил, что в случае несанкционированного отбора российского газа из транзитных объемов в третьи страны поставки для транзита будут сокращены на этот объем. На следующий день «Газпром» заявил, что Польша получает российский газ из Германии."
РБК,03.05.22,2,поставки газа,Итальянский министр допустил отказ от российского газа к 2024 году,"Италия сможет стать независимой от поставок российского газа ко второй половине 2024 года. Такое предположение высказал министр экологического перехода Роберто Чинголани в интервью газете La Repubblica.«Мы должны быть автономными ко второй половине 2024 года, мы могли бы обойтись без импорта российского газа», — сказал министр.Итальянская государственная нефтегазовая компания Eni ранее сообщила о планах заменить российский газ поставками из Алжира, Египта и Конго. Сейчас Алжир поставляет в Италию около 21 млрд куб. м газа в год и является вторым по величине поставщиком после России (29 млрд куб. м газа в год).Как сообщал Bloomberg со ссылкой на источники, Eni все же планирует открыть рублевый счет в Газпромбанке, как того просит Россия. Однако в конце марта глава Eni Клаудио Дескальци назвал оплату российского газа в рублях невозможной.По данным «Газпрома», Италия в 2020 году заняла второе место среди европейских стран по объему закупленного газа, в страну поставили 20,8 млрд куб. м. Больший объем закупила только Германия — 45,89 млрд куб. м."
РБК,03.05.22,4,поставки газа,«Газпром» забронировал часть мощностей «Ямал — Европы» впервые за месяц,"«Газпром» забронировал мощности для прокачку газа в Германию по газопроводу «Ямал — Европа» в ночь со 2 на 3 мая в размере 48,4% предложенного объема, следует из данных об итогах аукциона на площадке GSA Platform.На аукцион был выставлен объем 3,7 млн куб. м в час, Газпром забронировал часть мощностей на период между 21:00 мск 2 мая и 07:00 мск 3 мая.После этого, пишет ТАСС, реверсный физический поток газа по «Ямал — Европе» из Германии в Польшу через газоизмерительную станцию «Мальнов» прекратился. Его общий объем составлял 1,28 млн куб. м в час. При этом коммерческие поставки газа могут по-прежнему продолжаться как в прямом, так и в реверсном направлении, допустило агентство.Газопровод «Ямал — Европа» — это один из основных маршрутов поставок газа в Европу, его используют для транспортировки топлива в Германию и в Польшу. В последний раз «Газпром» бронировал дополнительные мощности газопровода 2 апреля. Тогда речь шла о 445 тыс. куб. м в час.В конце марта президент России Владимир Путин подписал указ о переводе оплаты для недружественных стран (таковыми Россия считает все страны Евросоюза, в том числе Польшу и Германию, а также другие государства) в рубли.27 апреля «Газпром» приостановил поставки газа в Польшу, так как компания PGNiG отказалась платить за поставки газа в рублях. В «Газпроме» отметили, что возобновят транспортировку, когда Польша оплатит топливо по новой схеме. В ЕС назвали действия России нарушением действующего контракта.В то же время немецкая энергетическая компания Uniper заявила, что продолжит платить России за газ в евро. В пресс-службе компании пояснили, что считают возможным найти компромисс, который устроит Москву и не будет нарушать европейские санкции."
Коммерсант,04.05.22,3,поставки газа,«Газпром»: Германия перестала поставлять российский газ в Польшу,"Германия прекратила осуществлять поставки российского газа реверсом в Польшу, заявил официальный представитель «Газпрома» Сергей Куприянов. 28 апреля компания сообщила о том, что Польша покупает российский газ через Германию, вопреки своим заявлениям о намерениях отказаться от поставок российского газа.«2 мая Германия прекратила физический реверс российского газа в Польшу по Ямалу—Европе. Однако немедленно возник виртуальный реверс для Польши из появившихся заявок потребителей Италии и Франции, которые обеспечиваются по польскому коридору. Мы это видим и фиксируем»,— приводятся слова господина Куприянова в Telegram-канале российской компании.Получаемый газ Польша использует для закачки в свои подземные хранилища, при этом ПХГ Европы сейчас заполнены в среднем на 34%, а ПХГ Польши — на 80%, добавил господин Куприянов. По его словам, на текущей неделе в среднем на 43% увеличились заявки европейских потребителей на поставку российского газа транзитом через Украину.26 апреля Власти Польши сообщили, что не будут платить за российский газ в рублях. 27 апреля «Газпром» подтвердил, что полностью остановил поставки газа польской компании PGNiG. Это решение было принято в связи с тем, что компания отказалась платить за газ в рублях в соответствии с указом президента России Владимира Путина, который действует с 1 апреля.Подробнее о том, почему ЕС не смог сохранить единство в вопросе оплаты российского газа в рублях,— в публикации «Ъ» «Союзные газударства».Еще больше новостей в Telegram-канале «Коммерсантъ»."
РБК,04.05.22,3,поставки газа,Польша начала получать газ через виртуальный реверс из Италии и Франции,"Германия 2 мая прекратила физический реверс российского газа в Польшу по трубопроводу Ямал — Европа, сообщил представитель «Газпрома» Сергей Куприянов.«Однако немедленно возник виртуальный реверс для Польши из появившихся заявок потребителей Италии и Франции, которые обеспечиваются по польскому коридору. Мы это видим и фиксируем», — приводятся его слова в Telegram-канале компании.Полученный газ Польша в том числе использует для закачки в свои подземные хранилища, при том что они в среднем заполнены на 80%, а хранилища Европы — на 34%, отметил Куприянов.«Виртуальный реверс» предполагает обмен газом между операторами газотранспортных систем. В таком случае газ физически через границу не перемещается, а стороны производят взаимозачет.Также на этой неделе число заявок европейских потребителей на поставку российского газа транзитом через Украину увеличилось в среднем на 43%, отметил представитель «Газпрома».Президент России Владимир Путин подписал указ, согласно которому с 1 апреля недружественные государства, в том числе все страны ЕС, США и Великобритания, должны платить за поставки газа в рублях.Некоторые страны, в том числе Польша, заявили, что не намерены платить за газ в рублях, сочтя это нарушением условий контрактов, которые предполагают оплату в долларах или евро.Польская компания PGNiG 26 апреля сообщила, что «Газпром экспорт» уведомил ее об остановке поставок газа. Компания сочла решение «Газпрома» нарушением контракта и заявила о намерении предъявить претензии в адрес российской компании.«Газпром» 27 апреля остановил поставки газа PGNiG, заявив, что до конца 26 апреля так и не получил платежи в рублях от этой компании за апрельские поставки.В российской компании также предупредили, что в случае несанкционированного отбора газа из транзитных объемов в третьи страны поставки для транзита будут сокращены на этот объем. На следующий день «Газпром» заявил, что Польша получает российский газ из Германии."
Коммерсант,05.05.22,1,поставки газа,Боррель заявил об отсутствии планов ЕС отказаться от поставок российского газа,"Европейский союз (ЕС) не планирует отказываться от поставок российского газа, сообщил глава европейской дипломатии Жозеп Боррель. Он пояснил, что если нефть можно заместить, то «с газом все по-другому».«Рынок нефти глобален, и существуют иные поставщики. Газ — это другая проблема. Это не только энергоресурс. Газ невозможно заместить каким-либо другим продуктом нефтехимии. Закрытие российского газового крана в настоящий момент не обсуждается»,— сказал господин Боррель в эфире испанской радиостанции Cadena SER (цитата по «Интерфаксу»).Сейчас власти ЕС обсуждают шестой пакет санкций в ответ на российскую военную операцию на Украине. Ограничения предусматривают запрет на поставки нефти, при этом речь о запрете на поставки газа не идет. Как накануне сообщило агентство Bloomberg, ЕС намерен согласовать шестой пакет санкций до 9 мая.Подробнее о шестом пакете санкций — в материале «Ъ» «Полный шесткач».Еще больше новостей — в Telegram-канале «Коммерсантъ»."
РБК,05.05.22,1,санкции,«Газпром» задействует мощности «Северного потока-2» для работы в России,"«Газпром» решил задействовать мощности проекта «Северный поток-2» для развития газоснабжения Северо-Запада России, говорится в поступившем сообщении компании.«В случае принятия немецкой стороной решения о вводе в эксплуатацию морского газопровода «Северный поток-2» в работу может быть включена только одна нитка газопровода со 100-процентной загрузкой», — добавили в «Газпроме». Ввод в эксплуатацию второй нитки в такой ситуации будет возможен не ранее 2028 года.«Северный поток-2» — газопровод, проходящий по дну Балтийского моря и состоящий из двух ниток длиной по 1,2 тыс. км. Он проходит через морские территории пяти стран: Германии, Дании, России, Финляндии и Швеции. Планировалось, что его совокупная мощность составит 55 млрд куб. м газа в год. Строительство газопровода началось в 2018 году и завершилось в 2021-м — с двухлетней задержкой из-за санкций США. Кроме Вашингтона, против проекта выступал Киев — там в «Северном потоке-2» видят угрозу украинской газотранспортной системе.11 июня 2021 года Nord Stream 2 AG подала в Федеральное сетевое агентство Германии заявку для сертификации газопровода. Регулятор после этого выдвинул новые требования: необходимо создать отдельную зарегистрированную в ФРГ компанию, которая бы регулировала находящийся в германской зоне участок «Северного потока-2». В Берлине заявили, что решение вряд ли будет принято в первой половине 2022 года.21 февраля 2022 года Россия признала независимость ДНР и ЛНР. После этого канцлер Германии Олаф Шольц объявил о приостановке сертификации «Северного потока-2», отметив, что ситуация должна быть заново оценена после решения Москвы о республиках Донбасса. В Nord Stream 2 сказали, что «приняли к сведению» сообщения о приостановке сертификации.23 февраля министр экономики Германии Роберт Хабек допустил полную остановку проекта. По его мнению, разумнее было вообще не строить газопровод, потому что он оказался «глыбой риска» в Балтийском море, а энергетическую политику «следует оценивать с точки зрения политики безопасности и геополитической перспективы». В тот же день президент США Джо Байден поручил своей администрации ввести против проекта санкции. Nord Stream 2 AG и ее исполнительного директора Маттиаса Варнига внесли в санкционный список SDN, который предусматривает блокировку активов и изоляцию от долларовой системы.В Кремле выразили надежду, что приостановка сертификации германским регулятором будет носить временный характер. Российские власти подчеркивали, что проект не имеет отношения к политике и является исключительно коммерческим.24 февраля Россия начала проводить на Украине специальную военную операцию по «демилитаризации и денацификации». Власти многих стран, в том числе государств Евросоюза, ввели против Москвы несколько пакетов жестких санкций.В марте пресс-секретарь президента России Дмитрий Песков заявил, что инфраструктура проекта «никуда не денется», а экономическая целесообразность и здравый смысл говорят о необходимости скорейшего запуска «Северного потока-2». По его мнению, «истерика неминуемо когда-то проходит», потом ее место занимает трезвая оценка ситуации.4 апреля президент Германии Франк-Вальтер Штайнмайер назвал «большой ошибкой» свою поддержку «Северного потока-2».Поделитесь впечатлениями"
РБК,07.05.22,3,поставки газа,Bloomberg узнал о письме «Газпрома» клиентам в Европе об оплате газа,"«Газпром» отправил своим европейским клиентам письмо, в котором заверил, что оплата газа в рублях не будет считаться нарушением введенных против России санкций, сообщает Bloomberg.Компания пишет об изданном 4 мая указе, в котором Кремль «проясняет процедуру» оплаты. «Газпром» заявляет, что этот документ обеспечивает прозрачность потоков денежных средств и исключает возможность участия в расчетах «третьих сторон».В указе от 4 мая уточняется процедура оплаты. В нем говорится, что после поступления от иностранного покупателя на специальный валютный счет типа «К» средств уполномоченный банк перечисляет их на корреспондентские счета Небанковской кредитной организации — центрального контрагента «Национальный клиринговый центр», откуда они зачисляются на счета для проведения расчетов по сделкам купли-продажи валюты (ее уполномоченный банк осуществляет на торгах на Московской бирже).«Национальный клиринговый центр» полностью принадлежит Мосбирже и является центральным контрагентом на российском финансовом рынке.23 марта президент Владимир Путин поручил перевести расчеты за газ с недружественными странами (в этом списке оказались все государства ЕС) в рубли. Теперь покупатели российского газа должны открывать в российском банке два счета: оплата будет зачисляться на валютный, после чего банк будет конвертировать ее в рубли и переводить на рублевый счет, откуда средства будут поступать продавцу.В Еврокомиссии заявили, что оплата российского газа в рублях будет нарушать санкции, введенные против Москвы после начала военной операции на Украине. Председатель ЕК Урсула фон дер Ляйен призвала европейские компании не соглашаться на эти условия.В начале мая министр экологического перехода Франции Барбара Помпили заявила, что страны ЕС единодушны в том, чтобы оплачивать газ в евро или долларах. В то же время ее коллега из Италии Роберто Чинголани выразил готовность страны временно платить за российский газ рублями. Он попросил Еврокомиссию разрешить такие транзакции. О готовности платить рублями сообщили власти Венгрии.В конце апреля «Газпром» приостановил поставки в Польшу и Болгарию из-за отказа использовать новую схему оплаты."
РБК,10.05.22,4,поставки газа,«Газпром» не увидел подтверждений форс-мажора с транзитом газа на Украине,"«Газпром» не получил подтверждений обстоятельств «форс-мажора», о котором ранее сообщал Оператор газотранспортной системы Украины, анонсируя прекращение транзита газа через газораспределительную станцию «Сохрановка» 11 мая. В российской компании заявили, что не видят никаких препятствий для продолжения работы ГРС «Сохрановка» в прежнем режиме.«Украинские специалисты все это время спокойно работали на ГРС «Сохрановка» и КС «Новопсков» и продолжают это делать, транзит через «Сохрановку» обеспечивался в полном объеме, никаких нареканий от контрагентов не было и нет», — подчеркнули в «Газпроме».Также в компании сочли невозможным перенос мощностей с точки соединения «Сохрановка» на точку «Суджа», исходя из российской потоковой схемы. «Распределение объемов четко прописано в соглашении о взаимодействии от 30 декабря 2019 года, и украинской стороне это хорошо известно», — отметили в «Газпроме».Российская компания заявила, что полностью выполняет все свои обязательства перед европейскими потребителями и поставляет газ для транзита в соответствии с контрактом и операторским соглашением.Ранее Оператор ГТС Украины сообщил, что с 11 мая прекратит транзит российского газа в Европу через газораспределительную станцию «Сохрановка» в Луганской области из-за «форс-мажорных обстоятельств».В сообщении говорилось, что эта станция не контролируется украинской стороной.Также украинский оператор счел невозможной дальнейшую транспортировку газа через пограничную компрессорную станцию (КС) «Новопсков». Украинская сторона предложила временно перенести недоступные мощности с точки соединения «Сохрановка» на точку «Суджа».«Газпром» и «Нафтогаз» в 2019 году заключили договор на пять лет о транзите газа в Европу. Его срок истекает в декабре 2024 года. За этот период Россия обязалась прокачать через Украину 225 млрд куб. м газа.В конце марта глава украинского «Нафтогаза» Юрий Витренко заявил, что транзит газа через украинскую территорию будет продолжаться, пока это будет возможно технически. В «Газпроме» не раз сообщали о штатном транзите газа через Украину.До сих пор газораспределительная станция «Сохрановка» и компрессорная станция «Новопсков» были одними из основных станций, через которые шел транзит российского газа в Европу. По данным Оператора ГТС Украины, КС «Новопсков» является первой из компрессорных станций украинской ГТС в Луганской области, через которую осуществлялась почти треть транзита газа (до 32,6 млн куб. м в сутки) из России. Так, 10 мая «Газпром» осуществил подачу 95,8 млн куб. м газа для транзита через территорию Украины «в соответствии с подтвержденными заявками европейских потребителей».По данным «Газпрома», на Украину сейчас приходится около 30% транзита российского газа в Европу. Если украинская сторона прекратит прием газа из России с «Сохрановки» и «Новопскова», то транзит может сократиться на 10%.Среди других маршрутов поставок российского газа — газопровод через Белоруссию и Польшу «Ямал — Европа» и «Северный поток-1» (по дну Балтийского моря)."
РБК,11.05.22,3,санкции,Россия ввела санкции против бывших «дочек» «Газпрома»,"Правительство России утвердило перечень компаний, которые попадут под ответные российские санкции, документ опубликован на официальном портале правовой информации. Всего в нем указана 31 компания.В список попали в основном бывшие «дочки» «Газпрома», включая Gazprom Germania. Компания в свою очередь управляет бывшими европейскими активами «Газпрома», которые тоже вошли в санкционный перечень: Gazprom NGV Europe, Wingas, Astora, Gazprom Marketing&Trading, Vemex и другие. «Газпром» прекратил участие в Gazprom Germania и других европейских «дочках» с 1 апреля.Помимо этого, под российскими санкциями оказалась польская Europol, которая владеет участком газопровода Ямал — Европа, идущим через Польшу.С подсанкционными компаниями запрещено совершать сделки, в том числе те, которые предусматривают заход в российские порты судов, связанных с этими юрлицами, а также совершение платежей и операций с ценными бумагами в пользу компаний.Указ об ответных мерах на санкции президент Владимир Путин подписал 3 мая. В нем говорится, что меры вводятся в целях защиты национальных интересов страны и в ответ на недружественные и противоречащие международному праву действия США и примкнувших к ним государств. Последние, как посчитали в руководстве страны, пытаются «незаконно» лишить или ограничить Россию и ее граждан в правах собственности.Кроме ограничений на сделки указ также ввел запрет на вывоз за пределы России продукции и сырья в пользу подсанкционных компаний.Правительству давалось десять дней на утверждение соответствующего перечня юрлиц.После того как «Газпром» прекратил участие в европейских «дочках», компания отозвала своих представителей из органов управления Gazprom Germania, подконтрольных ей компаний и объектов вложений.Германия в свою очередь ввела внешнее управление в Gazprom Germania, передав компанию Федеральному сетевому агентству ФРГ."
РБК,11.05.22,4,поставки газа,"Болгария договорилась о покупке СПГ у США по ценам ниже, чем у «Газпрома»","Болгария будет покупать СПГ у США по ценам ниже, чем у «Газпрома», говорится в сообщении болгарского правительства. Поставки начнутся в июне.Соответствующая договоренность была достигнута во время встречи болгарского премьер-министра Кирилла Петкова с вице-президентом США Камалой Харрис.«Премьер-министр Болгарии указал, что происходящее в Европе является явным признаком необходимости ускоренных и реальных мер в сфере энергетики. Вице-президент Камала Харрис поздравила Болгарию с решительными действиями по защите своего энергетического суверенитета», — говорится в релизе правительства.Болгарское правительство не указало, по какой схеме будет рассчитываться цена газа, поставляемого из США, и сколько она будет составлять.До марта 2020 года стоимость российского газа для Болгарии определялась контрактом с привязкой к цене на нефть. Однако с начала 2020 года София начала добиваться скидки, так как цены на спотовых европейских газовых рынках оказались ниже и страны, в контрактах которых не было привязки к стоимости нефти, оказались в более выгодных условиях.В марте 2020 года «Газпром» снизил цену на газ для Болгарии на 40%.В 2021 году посольство России в Болгарии сообщило, что по настоянию Софии, а также по просьбе Еврокомиссии «Газпром» при расчетах с Болгарией перешел на систему расчета с привязкой к европейскому газовому рынку.В конце апреля этого года Болгария сообщила, что «Газпром экспорт» уведомил своего болгарского партнера, компанию «Булгаргаз», об остановке поставок газа. Российская компания позже подтвердила сообщение, уточнив, что такое решение было принято в связи с неоплатой в рублях.Министр энергетики Болгарии Александр Николов позже пояснял, что процедура оплаты газа в рублях, на которой настаивает Россия, «влечет за собой значительные риски». «На практике мы потеряем контроль за нашими деньгами после оплаты в долларах США, как мы договаривались. Будет существовать риск нарушения обязательств — невыполнения [условий] российским банком, который будет отвечать за конвертацию соответствующей суммы в рубли», — уточнял он.Об отказе платить за российский газ в рублях Болгария предупредила российскую сторону еще раньше.Министр экологических преобразований Франции Барбара Помпили назвала прекращение поставок газа в Болгарию нарушением контрактов."
